name,price,image
"Lenovo IdeaPad Duet 5 Chromebook, OLED 13.3"" FHD (1920 x 1080) Touch Display, Snapdragon SC7180, 4GB LPDDR4X RAM, 64GB eMMC Storage, Qualcomm Adreno Graphics, Chrome OS, 82QS0000US, Abyss Blue",429.,https://m.media-amazon.com/images/I/61mIka7zQGL._AC_UY218_.jpg
"Acer Aspire 5 A515-46-R3UB | 15.6"" Full HD IPS Display | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | Windows 11 Home in S mode",389.,https://m.media-amazon.com/images/I/7189iXimfWL._AC_UY218_.jpg
"HP 15-inch Laptop, 11th Generation Intel Core i5-1135G7, Intel Iris Xe Graphics, 8 GB RAM, 256 GB SSD, Windows 11 Home (15-dy2024nr, Natural silver)",518.,https://m.media-amazon.com/images/I/71RD3vsjIYL._AC_UY218_.jpg
"HP Thin Light Laptop, 17.3"" HD Anti-Glare Display, Intel 11th Gen Core i3-1115G4(>i5-1035G4), Intel UHD Graphics, HDMI, Webcam, Windows 11, Silver (16GB RAM | 1TB PCIe SSD)",679.,https://m.media-amazon.com/images/I/71UQgYNyWqL._AC_UY218_.jpg
"2022 Newest HP 17.3"" HD+ Display, 11th Gen Intel Core i3-1115G4(Up to 4.1GHz, Beat i5-1030G7), 16GB DDR4 RAM, 1TB PCIe SSD, Bluetooth, HDMI, Webcam, Windows 11, Silver, w/ 3in1 Accessories",699.,https://m.media-amazon.com/images/I/61S+-V9lowL._AC_UY218_.jpg
"HP Pavilion 15 Laptop, 11th Gen Intel Core i7-1165G7 Processor, 16 GB RAM, 515 GB SSD Storage, Full HD IPS Micro-Edge Display, Windows 10 Pro, Compact Design, Long Battery Life (15-eg0025nr)",924.,https://m.media-amazon.com/images/I/711Nx6ZoRML._AC_UY218_.jpg
"ASUS Chromebook CX1, 11.6"" HD NanoEdge Display, Intel Celeron N3350 Processor, 32GB eMMC,  4GB RAM, Spill-resistant Keyboard, Chrome OS, Transparent Silver, CX1100CNA-AS42",136.,https://m.media-amazon.com/images/I/81eGCvMr3uS._AC_UY218_.jpg
"HP 15.6 inch Full HD Laptop, AMD 6-Cores Ryzen 5-5500, AMD Radeon Graphics, HP Fast Charge, Webcam, Thin&Portable, 16GB DDR4 RAM, 256GB PCIE SSD, Windows 10 Home, Natural Silver 16GB | 256GB SSD",608.,https://m.media-amazon.com/images/I/71Q0ivQbSOL._AC_UY218_.jpg
"2022 Newest Dell Inspiron 3510 Laptop, 15.6"" HD Display, Intel Celeron N4020 Processor, 16GB DDR4 RAM, 1TB Hard Disk Drive, Webcam, WiFi, HDMI, Bluetooth, Windows 10 Home, Black",569.,https://m.media-amazon.com/images/I/710QdRZmrhL._AC_UY218_.jpg
"2022 Newest Lenovo IdeaPad 3 Laptop, 15.6"" FHD Display, Intel Dual-Core Processor, Intel UHD Graphics, 20GB RAM, 1TB PCIe SSD, Fingerprint Reader, Webcam, HDMI, Bluetooth 5.0, Grey, Windows 11",649.,https://m.media-amazon.com/images/I/61h-1jaEObL._AC_UY218_.jpg
